Date,Source,Team,Player,Sentiment
2025-10-08,Grok,Edmonton Oilers,Adam Henrique,0
2025-10-08,Perplexity,Edmonton Oilers,Adam Henrique,1
2025-10-08,Grok,Calgary Flames,Adam Klapka,0
2025-10-08,Perplexity,Calgary Flames,Adam Klapka,1
2025-10-08,Grok,Edmonton Oilers,Alec Regula,0
2025-10-08,Perplexity,Edmonton Oilers,Alec Regula,0
2025-10-08,Perplexity,Washington Capitals,Alex Ovechkin,3
2025-10-08,Gemini,Washington Capitals,Alex Ovechkin,3
2025-10-08,Grok,Washington Capitals,Alex Ovechkin,3
2025-10-08,Grok,Washington Capitals,Aliaksei Protas,1
2025-10-08,Perplexity,Washington Capitals,Aliaksei Protas,0
2025-10-08,Gemini,Washington Capitals,Aliaksei Protas,1
2025-10-08,Gemini,Edmonton Oilers,Andrew Mangiapane,0
2025-10-08,Grok,Edmonton Oilers,Andrew Mangiapane,1
2025-10-08,Perplexity,Edmonton Oilers,Andrew Mangiapane,2
2025-10-08,Grok,Calgary Flames,Blake Coleman,1
2025-10-08,Gemini,Calgary Flames,Blake Coleman,0
2025-10-08,Perplexity,Calgary Flames,Blake Coleman,1
2025-10-08,Perplexity,Calgary Flames,Brayden Pachal,0
2025-10-08,Grok,Calgary Flames,Brayden Pachal,0
2025-10-08,Grok,Edmonton Oilers,Brett Kulak,0
2025-10-08,Perplexity,Edmonton Oilers,Brett Kulak,0
2025-10-08,Perplexity,Boston Bruins,Casey Mittelstadt,0
2025-10-08,Grok,Boston Bruins,Charlie McAvoy,0
2025-10-08,Perplexity,Boston Bruins,Charlie McAvoy,0
2025-10-08,Gemini,Boston Bruins,Charlie McAvoy,2
2025-10-08,Gemini,Edmonton Oilers,Connor McDavid,3
2025-10-08,Perplexity,Edmonton Oilers,Connor McDavid,3
2025-10-08,Grok,Edmonton Oilers,Connor McDavid,3
2025-10-08,Perplexity,Washington Capitals,Connor McMichael,0
2025-10-08,Perplexity,Calgary Flames,Connor Zary,1
2025-10-08,Grok,Calgary Flames,Connor Zary,-1
2025-10-08,Gemini,Edmonton Oilers,Darnell Nurse,0
2025-10-08,Perplexity,Edmonton Oilers,Darnell Nurse,1
2025-10-08,Grok,Edmonton Oilers,Darnell Nurse,1
2025-10-08,Gemini,Boston Bruins,David Pastrnak,3
2025-10-08,Perplexity,Boston Bruins,David Pastrnak,3
2025-10-08,Grok,Boston Bruins,David Pastrnak,3
2025-10-08,Perplexity,Edmonton Oilers,David Tomasek,1
2025-10-08,Grok,Edmonton Oilers,David Tomasek,1
2025-10-08,Gemini,Calgary Flames,Dustin Wolf,2
2025-10-08,Grok,Calgary Flames,Dustin Wolf,2
2025-10-08,Perplexity,Calgary Flames,Dustin Wolf,2
2025-10-08,Perplexity,Washington Capitals,Dylan Strome,1
2025-10-08,Grok,Washington Capitals,Dylan Strome,2
2025-10-08,Gemini,Washington Capitals,Dylan Strome,3
2025-10-08,Perplexity,Boston Bruins,Elias Lindholm,1
2025-10-08,Grok,Boston Bruins,Elias Lindholm,2
2025-10-08,Gemini,Boston Bruins,Elias Lindholm,1
2025-10-08,Perplexity,Edmonton Oilers,Evan Bouchard,2
2025-10-08,Grok,Edmonton Oilers,Evan Bouchard,3
2025-10-08,Gemini,Edmonton Oilers,Evan Bouchard,3
2025-10-08,Grok,Boston Bruins,Hampus Lindholm,1
2025-10-08,Perplexity,Edmonton Oilers,Isaac Howard,1
2025-10-08,Grok,Edmonton Oilers,Isaac Howard,1
2025-10-08,Grok,Calgary Flames,Jake Bean,0
2025-10-08,Perplexity,Calgary Flames,Jake Bean,0
2025-10-08,Gemini,Washington Capitals,Jakob Chychrun,0
2025-10-08,Perplexity,Washington Capitals,Jakob Chychrun,0
2025-10-08,Grok,Washington Capitals,Jakob Chychrun,1
2025-10-08,Grok,Boston Bruins,Jeremy Swayman,-1
2025-10-08,Perplexity,Boston Bruins,Jeremy Swayman,0
2025-10-08,Gemini,Boston Bruins,Jeremy Swayman,1
2025-10-08,Perplexity,Calgary Flames,Joel Farabee,1
