"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","59:06","11.8","TIMOTHY LILJEGREN - MARIO FERRARO","3","3","0","27","35","43.5","56","72","43.8"
"2","58:40","11.7","TIMOTHY LILJEGREN - HENRY THRUN","1","5","-4","23","21","52.3","57","50","53.3"
"3","40:49","8.1","MARC-EDOUARD VLASIC - JACK THOMPSON","0","3","-3","17","20","45.9","25","55","31.3"
"4","38:16","7.6","JAN RUTTA - LUCAS CARLSSON","3","0","3","19","20","48.7","50","41","54.9"
"5","28:21","5.7","LUCAS CARLSSON - HENRY THRUN","1","2","-1","12","19","38.7","21","41","33.9"
"6","27:07","5.4","NICK LEDDY - JOHN KLINGBERG","2","3","-1","7","22","24.1","15","40","27.3"
"7","25:17","5.0","TIMOTHY LILJEGREN - LUCAS CARLSSON","1","2","-1","8","14","36.4","17","32","34.7"
"8","21:13","4.2","MARC-EDOUARD VLASIC - JIMMY SCHULDT","0","1","-1","7","8","46.7","14","20","41.2"
"9","15:58","3.2","MARIO FERRARO - JACK THOMPSON","2","0","2","9","3","75.0","21","12","63.6"
"10","15:41","3.1","JAN RUTTA - HENRY THRUN","0","0","0","4","5","44.4","13","9","59.1"
"11","14:13","2.8","NICK LEDDY - TIMOTHY LILJEGREN","1","1","0","1","11","8.3","4","24","14.3"
"12","13:39","2.7","DMITRY ORLOV - SAM DICKINSON","1","0","1","4","6","40.0","8","8","50.0"
"13","12:51","2.6","LUCAS CARLSSON - LUCA CAGNONI","0","0","0","2","6","25.0","7","18","28.0"
"14","12:01","2.4","MARC-EDOUARD VLASIC - HENRY THRUN","1","1","0","6","7","46.2","12","21","36.4"
"15","12:01","2.4","DMITRY ORLOV - SHAKIR MUKHAMADULLIN","2","1","1","8","7","53.3","13","12","52.0"
"16","11:29","2.3","TIMOTHY LILJEGREN","1","4","-3","7","8","46.7","13","10","56.5"
"17","10:21","2.1","DMITRY ORLOV - MARIO FERRARO","0","1","-1","5","10","33.3","7","18","28.0"
"18","8:23","1.7","HENRY THRUN - JACK THOMPSON","0","0","0","7","4","63.6","11","11","50.0"
"19","8:13","1.6","LUCAS CARLSSON - JACK THOMPSON","0","1","-1","5","1","83.3","9","8","52.9"
"20","6:39","1.3","JOHN KLINGBERG - SAM DICKINSON","0","1","-1","1","7","12.5","2","15","11.8"
