"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","12:15","33.2","JOHN KLINGBERG","2","0","2","10","4","71.4","22","5","81.5"
"2","8:08","22.1","DMITRY ORLOV","1","0","1","3","2","60.0","10","2","83.3"
"3","4:59","13.5","TIMOTHY LILJEGREN","1","0","1","3","0","100.0","6","1","85.7"
"4","3:05","8.4","TIMOTHY LILJEGREN - LUCAS CARLSSON","0","0","0","1","0","100.0","5","0","100.0"
"5","2:55","7.9","LUCA CAGNONI","1","0","1","1","1","50.0","1","1","50.0"
"6","1:59","5.4","LUCAS CARLSSON","0","0","0","3","1","75.0","6","1","85.7"
"7","1:11","3.2","LUCAS CARLSSON - JACK THOMPSON","0","0","0","0","0","0.0","0","0","0.0"
"8","0:37","1.7","DMITRY ORLOV - SAM DICKINSON","0","0","0","0","0","0.0","0","0","0.0"
"9","0:16","0.7","DMITRY ORLOV - MARIO FERRARO","0","0","0","0","0","0.0","0","0","0.0"
"10","0:16","0.7","MARC-EDOUARD VLASIC - JIMMY SCHULDT","0","0","0","0","1","0.0","0","1","0.0"
"11","0:16","0.7","DMITRY ORLOV - TIMOTHY LILJEGREN","0","0","0","0","0","0.0","0","0","0.0"
"12","0:12","0.5","NICK LEDDY - JOHN KLINGBERG","0","0","0","0","0","0.0","0","0","0.0"
"13","0:12","0.5","NICK LEDDY - TIMOTHY LILJEGREN","0","0","0","0","0","0.0","0","0","0.0"
"14","0:06","0.3","TIMOTHY LILJEGREN - HENRY THRUN","0","0","0","0","0","0.0","0","0","0.0"
"15","0:06","0.3","TIMOTHY LILJEGREN - JACK THOMPSON","0","0","0","0","0","0.0","0","0","0.0"
"16","0:05","0.2","TIMOTHY LILJEGREN - JIMMY SCHULDT","0","0","0","0","0","0.0","0","0","0.0"
"17","0:04","0.2","MARC-EDOUARD VLASIC - LUCAS CARLSSON","0","0","0","0","0","0.0","0","0","0.0"
"18","0:03","0.1","LUCAS CARLSSON - MARIO FERRARO","0","0","0","0","0","0.0","0","0","0.0"
"19","0:03","0.1","LUCAS CARLSSON - HENRY THRUN","0","0","0","0","0","0.0","0","0","0.0"
"20","0:03","0.1","TIMOTHY LILJEGREN - LUCA CAGNONI","0","0","0","0","0","0.0","0","0","0.0"
"21","0:01","0.0","MARC-EDOUARD VLASIC - TIMOTHY LILJEGREN - JIMMY SCHULDT","0","0","0","0","0","0.0","0","0","0.0"
