"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","14:46","25.5","TIMOTHY LILJEGREN - MARIO FERRARO","0","4","-4","1","21","4.5","2","36","5.3"
"2","11:40","20.2","TIMOTHY LILJEGREN - HENRY THRUN","0","2","-2","2","13","13.3","2","32","5.9"
"3","4:47","8.3","NICK LEDDY - DMITRY ORLOV","0","0","0","1","2","33.3","1","8","11.1"
"4","3:57","6.8","JAN RUTTA - HENRY THRUN","0","0","0","0","6","0.0","0","14","0.0"
"5","3:08","5.4","DMITRY ORLOV - MARIO FERRARO","0","1","-1","0","2","0.0","0","4","0.0"
"6","2:57","5.1","TIMOTHY LILJEGREN - LUCAS CARLSSON","0","0","0","0","1","0.0","0","4","0.0"
"7","2:46","4.8","JAN RUTTA - LUCAS CARLSSON","0","1","-1","0","2","0.0","0","3","0.0"
"8","2:09","3.7","LUCAS CARLSSON - JIMMY SCHULDT","0","0","0","0","0","0.0","1","2","33.3"
"9","1:53","3.3","HENRY THRUN - JACK THOMPSON","0","0","0","0","2","0.0","0","2","0.0"
"10","1:53","3.3","MARIO FERRARO - HENRY THRUN","0","0","0","0","0","0.0","0","2","0.0"
"11","1:37","2.8","LUCAS CARLSSON - HENRY THRUN","0","0","0","0","1","0.0","0","4","0.0"
"12","1:31","2.6","LUCAS CARLSSON - JACK THOMPSON","0","0","0","0","2","0.0","0","2","0.0"
"13","1:01","1.8","NICK LEDDY - JOHN KLINGBERG","0","1","-1","0","2","0.0","0","2","0.0"
"14","0:42","1.2","MARC-EDOUARD VLASIC - LUCAS CARLSSON","0","0","0","0","3","0.0","0","3","0.0"
"15","0:41","1.2","MARC-EDOUARD VLASIC - JIMMY SCHULDT","0","0","0","0","0","0.0","0","0","0.0"
"16","0:37","1.1","NICK LEDDY - TIMOTHY LILJEGREN","0","0","0","1","0","100.0","1","0","100.0"
"17","0:37","1.1","NICK LEDDY - MARIO FERRARO","0","0","0","0","0","0.0","0","0","0.0"
"18","0:28","0.8","DMITRY ORLOV - TIMOTHY LILJEGREN","0","0","0","0","1","0.0","0","1","0.0"
"19","0:14","0.4","MARC-EDOUARD VLASIC - HENRY THRUN","0","0","0","0","0","0.0","0","0","0.0"
"20","0:05","0.1","TIMOTHY LILJEGREN - JIMMY SCHULDT","0","0","0","0","0","0.0","0","0","0.0"
"21","0:03","0.1","NICK LEDDY","0","0","0","0","0","0.0","0","0","0.0"
"22","0:02","0.1","DMITRY ORLOV - TIMOTHY LILJEGREN - MARIO FERRARO","0","0","0","0","0","0.0","1","0","100.0"
"23","0:02","0.1","LUCAS CARLSSON","0","0","0","0","0","0.0","0","0","0.0"
"24","0:02","0.1","TIMOTHY LILJEGREN - LUCAS CARLSSON - JIMMY SCHULDT","0","0","0","0","0","0.0","0","0","0.0"
"25","0:02","0.1","SAM DICKINSON","0","0","0","0","0","0.0","0","0","0.0"
"26","0:01","0.0","LUCAS CARLSSON - JIMMY SCHULDT - HENRY THRUN","0","0","0","0","0","0.0","0","0","0.0"
"27","0:01","0.0","MARIO FERRARO - HENRY THRUN - JACK THOMPSON","0","0","0","0","0","0.0","0","0","0.0"
"28","0:01","0.0","JIMMY SCHULDT","0","0","0","0","0","0.0","0","0","0.0"
"29","0:01","0.0","DMITRY ORLOV","0","0","0","0","0","0.0","0","0","0.0"
"30","0:01","0.0","TIMOTHY LILJEGREN - JAN RUTTA - LUCAS CARLSSON","0","0","0","0","0","0.0","0","0","0.0"
"31","0:01","0.0","TIMOTHY LILJEGREN - LUCAS CARLSSON - HENRY THRUN","0","0","0","0","0","0.0","0","0","0.0"
"32","0:01","0.0","NICK LEDDY - DMITRY ORLOV - MARIO FERRARO","0","0","0","0","0","0.0","0","0","0.0"
"33","0:01","0.0","TIMOTHY LILJEGREN - JAN RUTTA - HENRY THRUN","0","0","0","0","0","0.0","0","0","0.0"
"34","0:01","0.0","TIMOTHY LILJEGREN - JAN RUTTA","0","0","0","0","0","0.0","0","0","0.0"
