"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","69:27","13.8","TYLER TOFFOLI - ALEXANDER WENNBERG - WILLIAM EKLUND","2","5","-3","31","34","47.7","62","88","41.3"
"2","58:53","11.7","NIKOLAI KOVALENKO - WILL SMITH - MACKLIN CELEBRINI","5","4","1","23","34","40.4","54","74","42.2"
"3","27:40","5.5","ALEXANDER WENNBERG - WILLIAM EKLUND - COLLIN GRAF","0","0","0","12","14","46.2","24","26","48.0"
"4","26:43","5.3","PHILIPP KURASHEV - WILL SMITH - MACKLIN CELEBRINI","1","1","0","8","16","33.3","18","35","34.0"
"5","25:43","5.1","TYLER TOFFOLI - WILL SMITH - MACKLIN CELEBRINI","1","1","0","13","10","56.5","29","22","56.9"
"6","18:10","3.6","BARCLAY GOODROW - CARL GRUNDSTROM - NOAH GREGOR","0","0","0","5","5","50.0","16","16","50.0"
"7","17:57","3.6","RYAN REAVES - BARCLAY GOODROW - ADAM GAUDETTE","1","2","-1","3","12","20.0","6","21","22.2"
"8","16:13","3.2","BARCLAY GOODROW - CARL GRUNDSTROM - TY DELLANDREA","0","1","-1","8","7","53.3","15","15","50.0"
"9","14:21","2.8","JEFF SKINNER - TY DELLANDREA - COLLIN GRAF","2","1","1","9","9","50.0","15","15","50.0"
"10","13:49","2.7","NOAH GREGOR - ZACK OSTAPCHUK - CAM LUND","0","0","0","5","7","41.7","11","18","37.9"
"11","12:58","2.6","TYLER TOFFOLI - WILLIAM EKLUND - MACKLIN CELEBRINI","1","1","0","1","12","7.7","6","25","19.4"
"12","11:21","2.3","ALEXANDER WENNBERG - WILLIAM EKLUND - CAM LUND","0","1","-1","2","5","28.6","9","7","56.3"
"13","11:10","2.2","TY DELLANDREA - NIKOLAI KOVALENKO - DANIL GUSHCHIN","0","0","0","2","5","28.6","10","9","52.6"
"14","11:02","2.2","BARCLAY GOODROW - CARL GRUNDSTROM - ZACK OSTAPCHUK","0","0","0","9","4","69.2","20","12","62.5"
"15","10:02","2.0","TY DELLANDREA - NOAH GREGOR - CAM LUND","0","1","-1","2","6","25.0","6","13","31.6"
"16","8:37","1.7","PHILIPP KURASHEV - TY DELLANDREA - MICHAEL MISA","0","2","-2","0","7","0.0","3","14","17.6"
"17","7:45","1.5","BARCLAY GOODROW - TY DELLANDREA - NOAH GREGOR","0","2","-2","2","2","50.0","4","6","40.0"
"18","7:23","1.5","JEFF SKINNER - ALEXANDER WENNBERG - WILL SMITH","0","0","0","4","3","57.1","7","9","43.8"
"19","7:08","1.4","CARL GRUNDSTROM - THOMAS BORDELEAU - ZACK OSTAPCHUK","0","0","0","4","5","44.4","5","8","38.5"
"20","6:46","1.3","TY DELLANDREA - DANIL GUSHCHIN - CAM LUND","0","0","0","3","2","60.0","6","6","50.0"
"21","6:10","1.2","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH","0","1","-1","4","4","50.0","4","9","30.8"
"22","5:20","1.1","BARCLAY GOODROW - NOAH GREGOR - ZACK OSTAPCHUK","0","0","0","2","2","50.0","5","5","50.0"
"23","4:17","0.8","WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","1","0","1","2","1","66.7","2","4","33.3"
"24","4:12","0.8","WILL SMITH - MACKLIN CELEBRINI","0","1","-1","1","4","20.0","1","5","16.7"
"25","4:03","0.8","TYLER TOFFOLI - ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","1","2","-1","6","2","75.0","10","2","83.3"
"26","3:57","0.8","CARL GRUNDSTROM - TY DELLANDREA - CAM LUND","0","4","-4","1","5","16.7","3","9","25.0"
"27","3:12","0.6","BARCLAY GOODROW - TY DELLANDREA - COLLIN GRAF","0","0","0","0","3","0.0","1","6","14.3"
"28","2:36","0.5","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","2","2","50.0"
"29","2:12","0.4","ALEXANDER WENNBERG - WILLIAM EKLUND","0","0","0","1","2","33.3","1","2","33.3"
"30","2:11","0.4","ALEXANDER WENNBERG - BARCLAY GOODROW - TY DELLANDREA","0","0","0","1","2","33.3","3","2","60.0"
"31","2:06","0.4","TY DELLANDREA - NOAH GREGOR - ZACK OSTAPCHUK","0","0","0","0","2","0.0","0","4","0.0"
"32","2:06","0.4","TYLER TOFFOLI - ALEXANDER WENNBERG - NIKOLAI KOVALENKO","0","1","-1","0","2","0.0","0","5","0.0"
"33","1:53","0.4","CARL GRUNDSTROM - WILL SMITH - MACKLIN CELEBRINI","0","0","0","3","3","50.0","5","3","62.5"
"34","1:47","0.4","CARL GRUNDSTROM - ZACK OSTAPCHUK - CAM LUND","1","0","1","3","1","75.0","3","2","60.0"
"35","1:34","0.3","TY DELLANDREA - WILLIAM EKLUND - COLLIN GRAF","0","0","0","1","0","100.0","2","1","66.7"
"36","1:27","0.3","ALEXANDER WENNBERG - DANIL GUSHCHIN - WILLIAM EKLUND","0","0","0","0","4","0.0","0","5","0.0"
"37","1:24","0.3","RYAN REAVES - ALEXANDER WENNBERG - BARCLAY GOODROW","0","0","0","0","1","0.0","0","3","0.0"
"38","1:22","0.3","WILLIAM EKLUND - MACKLIN CELEBRINI","0","1","-1","0","1","0.0","1","2","33.3"
"39","1:09","0.2","ALEXANDER WENNBERG - BARCLAY GOODROW - WILLIAM EKLUND","0","0","0","0","0","0.0","0","1","0.0"
"40","1:09","0.2","TY DELLANDREA - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","1","0.0"
"41","1:09","0.2","TYLER TOFFOLI - TY DELLANDREA - WILLIAM EKLUND","0","0","0","3","0","100.0","3","0","100.0"
"42","1:07","0.2","PHILIPP KURASHEV - TY DELLANDREA - COLLIN GRAF","1","0","1","2","0","100.0","4","0","100.0"
"43","1:07","0.2","RYAN REAVES - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","2","0.0"
"44","1:04","0.2","TYLER TOFFOLI - ALEXANDER WENNBERG - CARL GRUNDSTROM","0","0","0","0","0","0.0","0","1","0.0"
"45","1:03","0.2","ALEXANDER WENNBERG - CARL GRUNDSTROM - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"46","1:03","0.2","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","1","0.0"
"47","1:03","0.2","TYLER TOFFOLI - NIKOLAI KOVALENKO - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","3","0.0"
"48","1:01","0.2","NOAH GREGOR - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","1","0.0","1","1","50.0"
"49","1:01","0.2","ALEXANDER WENNBERG - BARCLAY GOODROW - NOAH GREGOR","0","0","0","0","3","0.0","1","5","16.7"
"50","0:58","0.2","TYLER TOFFOLI - ALEXANDER WENNBERG - MACKLIN CELEBRINI","0","0","0","1","0","100.0","1","3","25.0"
"51","0:53","0.2","CARL GRUNDSTROM - TY DELLANDREA - NOAH GREGOR","0","0","0","0","1","0.0","2","2","50.0"
"52","0:53","0.2","BARCLAY GOODROW - TY DELLANDREA - NIKOLAI KOVALENKO","0","0","0","0","1","0.0","0","2","0.0"
"53","0:52","0.2","TY DELLANDREA - WILLIAM EKLUND - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"54","0:51","0.2","CARL GRUNDSTROM - NIKOLAI KOVALENKO - DANIL GUSHCHIN","0","0","0","0","0","0.0","0","0","0.0"
"55","0:51","0.2","TYLER TOFFOLI - ALEXANDER WENNBERG - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"56","0:51","0.2","DANIL GUSHCHIN - CAM LUND - MACKLIN CELEBRINI","0","0","0","1","0","100.0","2","1","66.7"
"57","0:49","0.2","TYLER TOFFOLI - PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"58","0:48","0.2","TYLER TOFFOLI - ADAM GAUDETTE - WILLIAM EKLUND","0","0","0","0","1","0.0","0","3","0.0"
"59","0:47","0.2","NIKOLAI KOVALENKO - CAM LUND - COLLIN GRAF","0","0","0","2","2","50.0","2","2","50.0"
"60","0:46","0.2","BARCLAY GOODROW - PHILIPP KURASHEV - TY DELLANDREA","0","0","0","1","1","50.0","1","2","33.3"
"61","0:45","0.1","CARL GRUNDSTROM - CAM LUND - MACKLIN CELEBRINI","0","0","0","1","0","100.0","1","0","100.0"
"62","0:45","0.1","NOAH GREGOR - CAM LUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"63","0:44","0.1","TYLER TOFFOLI - WILLIAM EKLUND - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","1","0.0"
"64","0:43","0.1","ALEXANDER WENNBERG - NOAH GREGOR - CAM LUND","0","1","-1","1","1","50.0","1","1","50.0"
"65","0:43","0.1","TYLER TOFFOLI - ALEXANDER WENNBERG - WILL SMITH","0","0","0","0","0","0.0","0","1","0.0"
"66","0:43","0.1","RYAN REAVES - BARCLAY GOODROW - MICHAEL MISA","0","0","0","1","1","50.0","1","1","50.0"
"67","0:42","0.1","BARCLAY GOODROW - ADAM GAUDETTE - TY DELLANDREA","0","0","0","0","1","0.0","0","1","0.0"
"68","0:41","0.1","BARCLAY GOODROW - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","1","0.0","1","1","50.0"
"69","0:39","0.1","ALEXANDER WENNBERG - COLLIN GRAF","0","0","0","0","0","0.0","1","1","50.0"
"70","0:38","0.1","COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","1","0.0"
"71","0:38","0.1","BARCLAY GOODROW - ZACK OSTAPCHUK - CAM LUND","0","0","0","1","0","100.0","2","0","100.0"
"72","0:38","0.1","TYLER TOFFOLI - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","1","0.0"
"73","0:38","0.1","WILLIAM EKLUND - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"74","0:37","0.1","ALEXANDER WENNBERG - NOAH GREGOR","0","0","0","0","0","0.0","0","0","0.0"
"75","0:37","0.1","TY DELLANDREA - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","1","1","50.0"
"76","0:36","0.1","NIKOLAI KOVALENKO - CAM LUND - MACKLIN CELEBRINI","0","0","0","1","0","100.0","1","0","100.0"
"77","0:35","0.1","PHILIPP KURASHEV - TY DELLANDREA - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","1","0.0"
"78","0:34","0.1","RYAN REAVES - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","1","0.0","0","1","0.0"
"79","0:34","0.1","ALEXANDER WENNBERG - CARL GRUNDSTROM - COLLIN GRAF","0","0","0","0","0","0.0","0","1","0.0"
"80","0:33","0.1","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"81","0:33","0.1","WILLIAM EKLUND - WILL SMITH","0","1","-1","0","1","0.0","0","1","0.0"
"82","0:32","0.1","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - DANIL GUSHCHIN","0","0","0","0","1","0.0","0","4","0.0"
"83","0:31","0.1","CARL GRUNDSTROM - NOAH GREGOR - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"84","0:31","0.1","ALEXANDER WENNBERG - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"85","0:31","0.1","NIKOLAI KOVALENKO - ZACK OSTAPCHUK - WILL SMITH","0","0","0","0","1","0.0","0","2","0.0"
"86","0:31","0.1","WILLIAM EKLUND - ZACK OSTAPCHUK - CAM LUND","1","0","1","2","0","100.0","3","0","100.0"
"87","0:30","0.1","PHILIPP KURASHEV - TY DELLANDREA - MACKLIN CELEBRINI","0","0","0","0","0","0.0","1","0","100.0"
"88","0:29","0.1","JEFF SKINNER - TYLER TOFFOLI - ALEXANDER WENNBERG","0","0","0","0","1","0.0","0","1","0.0"
"89","0:28","0.1","ALEXANDER WENNBERG - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"90","0:27","0.1","NOAH GREGOR - ZACK OSTAPCHUK - WILL SMITH","0","0","0","0","1","0.0","1","1","50.0"
"91","0:26","0.1","BARCLAY GOODROW - TY DELLANDREA - NIKOLAI KOVALENKO - CAM LUND","0","0","0","1","0","100.0","3","0","100.0"
"92","0:26","0.1","THOMAS BORDELEAU - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","1","0.0"
"93","0:26","0.1","NIKOLAI KOVALENKO - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","1","0.0"
"94","0:25","0.1","BARCLAY GOODROW - ADAM GAUDETTE - COLLIN GRAF","0","0","0","0","0","0.0","0","1","0.0"
"95","0:25","0.1","TYLER TOFFOLI - ALEXANDER WENNBERG - NOAH GREGOR","0","0","0","1","0","100.0","1","0","100.0"
"96","0:25","0.1","BARCLAY GOODROW - ADAM GAUDETTE - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"97","0:24","0.1","PHILIPP KURASHEV - TY DELLANDREA - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"98","0:24","0.1","ALEXANDER WENNBERG - BARCLAY GOODROW - CARL GRUNDSTROM","0","0","0","0","0","0.0","0","0","0.0"
"99","0:23","0.1","BARCLAY GOODROW - CARL GRUNDSTROM - WILLIAM EKLUND","0","0","0","0","0","0.0","1","0","100.0"
"100","0:23","0.1","JEFF SKINNER - ALEXANDER WENNBERG - TY DELLANDREA","0","0","0","0","0","0.0","0","1","0.0"
"101","0:22","0.1","BARCLAY GOODROW - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"102","0:22","0.1","ALEXANDER WENNBERG - CARL GRUNDSTROM - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"103","0:22","0.1","JEFF SKINNER - BARCLAY GOODROW - ADAM GAUDETTE","0","0","0","2","0","100.0","2","0","100.0"
"104","0:22","0.1","TYLER TOFFOLI - TY DELLANDREA - WILL SMITH","0","1","-1","0","1","0.0","0","2","0.0"
"105","0:22","0.1","BARCLAY GOODROW - CARL GRUNDSTROM - CAM LUND","0","0","0","0","1","0.0","0","1","0.0"
"106","0:21","0.1","TY DELLANDREA - NIKOLAI KOVALENKO - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"107","0:21","0.1","ALEXANDER WENNBERG - CARL GRUNDSTROM - NOAH GREGOR","0","0","0","1","0","100.0","2","0","100.0"
"108","0:20","0.1","BARCLAY GOODROW - CARL GRUNDSTROM - DANIL GUSHCHIN","0","0","0","1","0","100.0","1","0","100.0"
"109","0:20","0.1","CARL GRUNDSTROM - TY DELLANDREA - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"110","0:19","0.1","TYLER TOFFOLI - CAM LUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"111","0:19","0.1","JEFF SKINNER - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"112","0:19","0.1","ALEXANDER WENNBERG - TY DELLANDREA - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"113","0:19","0.1","TY DELLANDREA - CAM LUND - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"114","0:19","0.1","CARL GRUNDSTROM - NIKOLAI KOVALENKO - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"115","0:18","0.1","JEFF SKINNER - ALEXANDER WENNBERG - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"116","0:18","0.1","BARCLAY GOODROW - NIKOLAI KOVALENKO - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"117","0:18","0.1","TYLER TOFFOLI - ALEXANDER WENNBERG - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"118","0:18","0.1","TYLER TOFFOLI - ALEXANDER WENNBERG - DANIL GUSHCHIN","0","0","0","0","0","0.0","0","0","0.0"
"119","0:18","0.1","TYLER TOFFOLI - BARCLAY GOODROW - TY DELLANDREA","0","0","0","0","0","0.0","0","1","0.0"
"120","0:17","0.1","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
