"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","10:26","22.8","TYLER TOFFOLI - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","7","3","70.0","17","4","81.0"
"2","8:48","19.2","TYLER TOFFOLI - ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","10","1","90.9","19","1","95.0"
"3","4:51","10.6","JEFF SKINNER - ALEXANDER WENNBERG - ADAM GAUDETTE - PHILIPP KURASHEV","1","0","1","3","1","75.0","7","1","87.5"
"4","3:52","8.5","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","2","0","2","4","1","80.0","7","1","87.5"
"5","3:06","6.8","JEFF SKINNER - ALEXANDER WENNBERG - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","1","0.0","3","1","75.0"
"6","2:54","6.3","TYLER TOFFOLI - NIKOLAI KOVALENKO - WILL SMITH - MACKLIN CELEBRINI","1","0","1","1","1","50.0","3","1","75.0"
"7","1:29","3.2","TYLER TOFFOLI - ALEXANDER WENNBERG - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","3","1","75.0","4","1","80.0"
"8","1:27","3.2","BARCLAY GOODROW - NIKOLAI KOVALENKO - CAM LUND","0","0","0","0","0","0.0","2","0","100.0"
"9","1:21","3.0","ALEXANDER WENNBERG - DANIL GUSHCHIN - WILLIAM EKLUND - CAM LUND","0","0","0","1","0","100.0","1","1","50.0"
"10","1:03","2.3","NIKOLAI KOVALENKO - CAM LUND - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"11","0:54","2.0","NIKOLAI KOVALENKO - DANIL GUSHCHIN - CAM LUND","0","0","0","0","0","0.0","2","0","100.0"
"12","0:36","1.3","WILLIAM EKLUND - CAM LUND - MACKLIN CELEBRINI","0","0","0","1","0","100.0","1","0","100.0"
"13","0:30","1.1","BARCLAY GOODROW - NIKOLAI KOVALENKO - THOMAS BORDELEAU - WILL SMITH","0","0","0","0","0","0.0","1","0","100.0"
"14","0:22","0.8","JEFF SKINNER - ALEXANDER WENNBERG - PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"15","0:21","0.8","JEFF SKINNER - ALEXANDER WENNBERG - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"16","0:18","0.7","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - COLLIN GRAF - MACKLIN CELEBRINI","1","0","1","1","0","100.0","2","0","100.0"
"17","0:16","0.6","JEFF SKINNER - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"18","0:15","0.5","CARL GRUNDSTROM - CAM LUND - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"19","0:14","0.5","WILLIAM EKLUND - CAM LUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"20","0:13","0.5","ADAM GAUDETTE - PHILIPP KURASHEV - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"21","0:12","0.4","TYLER TOFFOLI - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"22","0:12","0.4","ALEXANDER WENNBERG - DANIL GUSHCHIN - WILLIAM EKLUND - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"23","0:11","0.4","RYAN REAVES - BARCLAY GOODROW - ADAM GAUDETTE","0","0","0","0","0","0.0","0","0","0.0"
"24","0:11","0.4","BARCLAY GOODROW - CARL GRUNDSTROM - NOAH GREGOR","0","0","0","0","0","0.0","0","0","0.0"
"25","0:08","0.3","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - DANIL GUSHCHIN - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"26","0:07","0.3","ALEXANDER WENNBERG - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"27","0:07","0.3","CARL GRUNDSTROM - NIKOLAI KOVALENKO - DANIL GUSHCHIN","0","0","0","0","0","0.0","0","0","0.0"
"28","0:06","0.2","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - DANIL GUSHCHIN - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"29","0:05","0.2","BARCLAY GOODROW - CARL GRUNDSTROM - DANIL GUSHCHIN","0","0","0","0","1","0.0","0","1","0.0"
"30","0:04","0.1","TYLER TOFFOLI - ALEXANDER WENNBERG - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"31","0:04","0.1","TYLER TOFFOLI - PHILIPP KURASHEV - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"32","0:03","0.1","TYLER TOFFOLI - ALEXANDER WENNBERG - PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"33","0:03","0.1","ALEXANDER WENNBERG - ADAM GAUDETTE - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"34","0:03","0.1","ALEXANDER WENNBERG - DANIL GUSHCHIN - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"35","0:03","0.1","TYLER TOFFOLI - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"36","0:03","0.1","JEFF SKINNER - ALEXANDER WENNBERG - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"37","0:03","0.1","ALEXANDER WENNBERG - PHILIPP KURASHEV - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"38","0:03","0.1","ALEXANDER WENNBERG - WILLIAM EKLUND - CAM LUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"39","0:03","0.1","CAM LUND - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"40","0:03","0.1","JEFF SKINNER - TY DELLANDREA - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"41","0:03","0.1","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - CAM LUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"42","0:02","0.1","WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"43","0:02","0.1","BARCLAY GOODROW - DANIL GUSHCHIN - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"44","0:02","0.1","TYLER TOFFOLI - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"45","0:02","0.1","ALEXANDER WENNBERG - DANIL GUSHCHIN - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"46","0:02","0.1","JEFF SKINNER - ADAM GAUDETTE - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"47","0:02","0.1","JEFF SKINNER - ADAM GAUDETTE - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"48","0:02","0.1","JEFF SKINNER - ALEXANDER WENNBERG - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"49","0:02","0.1","JEFF SKINNER - TYLER TOFFOLI - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"50","0:01","0.0","ALEXANDER WENNBERG - DANIL GUSHCHIN - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"51","0:01","0.0","ALEXANDER WENNBERG - ADAM GAUDETTE - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"52","0:01","0.0","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"53","0:01","0.0","BARCLAY GOODROW - NIKOLAI KOVALENKO - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"54","0:01","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - WILL SMITH - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"55","0:01","0.0","TYLER TOFFOLI - WILLIAM EKLUND - WILL SMITH - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"56","0:01","0.0","NIKOLAI KOVALENKO - CAM LUND - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"57","0:01","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - ADAM GAUDETTE - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"58","0:01","0.0","TYLER TOFFOLI - NIKOLAI KOVALENKO - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"59","0:01","0.0","ALEXANDER WENNBERG - ADAM GAUDETTE - PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"60","0:01","0.0","BARCLAY GOODROW - DANIL GUSHCHIN","0","0","0","0","0","0.0","0","0","0.0"
"61","0:01","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - WILLIAM EKLUND - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"62","0:01","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - WILLIAM EKLUND - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"63","0:01","0.0","ALEXANDER WENNBERG - ADAM GAUDETTE - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"64","0:01","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
