"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","18:22","31.8","ALEXANDER WENNBERG - BARCLAY GOODROW","0","3","-3","2","21","8.7","2","44","4.3"
"2","7:02","12.2","TY DELLANDREA - COLLIN GRAF","0","1","-1","0","6","0.0","0","12","0.0"
"3","6:38","11.5","BARCLAY GOODROW - TY DELLANDREA","0","3","-3","1","6","14.3","2","13","13.3"
"4","2:42","4.7","ALEXANDER WENNBERG - TY DELLANDREA","0","0","0","0","3","0.0","0","8","0.0"
"5","2:35","4.5","BARCLAY GOODROW - COLLIN GRAF","0","0","0","0","3","0.0","0","6","0.0"
"6","2:17","3.9","NOAH GREGOR - ZACK OSTAPCHUK","0","0","0","0","1","0.0","0","5","0.0"
"7","2:16","3.9","TY DELLANDREA - ZACK OSTAPCHUK","0","0","0","1","0","100.0","1","0","100.0"
"8","2:12","3.8","NOAH GREGOR - WILLIAM EKLUND","0","0","0","0","3","0.0","1","5","16.7"
"9","1:45","3.0","TY DELLANDREA - NOAH GREGOR","0","0","0","0","4","0.0","0","4","0.0"
"10","1:34","2.7","BARCLAY GOODROW - WILLIAM EKLUND","0","0","0","0","2","0.0","0","6","0.0"
"11","1:23","2.4","ALEXANDER WENNBERG - NOAH GREGOR","0","0","0","0","1","0.0","0","2","0.0"
"12","1:13","2.1","ALEXANDER WENNBERG - PHILIPP KURASHEV","0","0","0","1","0","100.0","1","2","33.3"
"13","1:03","1.8","BARCLAY GOODROW - ZACK OSTAPCHUK","0","0","0","0","1","0.0","0","3","0.0"
"14","0:45","1.3","ALEXANDER WENNBERG - COLLIN GRAF","0","0","0","0","1","0.0","0","1","0.0"
"15","0:44","1.3","ALEXANDER WENNBERG - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
"16","0:43","1.2","ALEXANDER WENNBERG - CARL GRUNDSTROM","0","0","0","0","0","0.0","0","1","0.0"
"17","0:42","1.2","BARCLAY GOODROW","0","0","0","0","2","0.0","0","2","0.0"
"18","0:37","1.1","PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"19","0:34","1.0","PHILIPP KURASHEV - WILLIAM EKLUND","0","1","-1","0","2","0.0","0","2","0.0"
"20","0:31","0.9","ALEXANDER WENNBERG - WILLIAM EKLUND","0","0","0","0","1","0.0","0","1","0.0"
"21","0:27","0.8","WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"22","0:25","0.7","WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"23","0:23","0.7","ALEXANDER WENNBERG","0","1","-1","0","1","0.0","0","2","0.0"
"24","0:19","0.5","BARCLAY GOODROW - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"25","0:06","0.2","ALEXANDER WENNBERG - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"26","0:04","0.1","BARCLAY GOODROW - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"27","0:04","0.1","TY DELLANDREA - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"28","0:03","0.1","ALEXANDER WENNBERG - BARCLAY GOODROW - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"29","0:03","0.1","COLLIN GRAF","0","0","0","0","0","0.0","1","0","100.0"
"30","0:03","0.1","WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"31","0:02","0.1","ZACK OSTAPCHUK - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"32","0:02","0.1","PHILIPP KURASHEV - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"33","0:02","0.1","RYAN REAVES - BARCLAY GOODROW - ADAM GAUDETTE","0","0","0","0","0","0.0","0","0","0.0"
"34","0:02","0.1","PHILIPP KURASHEV - TY DELLANDREA - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"35","0:02","0.1","ZACK OSTAPCHUK - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"36","0:02","0.1","TY DELLANDREA - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"37","0:01","0.0","ALEXANDER WENNBERG - BARCLAY GOODROW - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"38","0:01","0.0","ALEXANDER WENNBERG - TY DELLANDREA - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
