"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","75:23","15.4","MIKHAIL SERGACHEV - SEAN DURZI","6","2","4","44","28","61.1","83","65","56.1"
"2","64:06","13.1","IAN COLE - MICHAEL KESSELRING","4","3","1","35","33","51.5","64","59","52.0"
"3","49:18","10.1","OLLI MAATTA - NICK DESIMONE","3","1","2","34","13","72.3","59","28","67.8"
"4","28:16","5.8","MIKHAIL SERGACHEV - JOHN MARINO","1","1","0","10","14","41.7","24","33","42.1"
"5","26:05","5.3","NATE SCHMIDT - JOHN MARINO","3","2","1","15","9","62.5","33","15","68.8"
"6","22:58","4.7","IAN COLE - SEAN DURZI","0","1","-1","8","18","30.8","18","36","33.3"
"7","20:41","4.2","IAN COLE - DMITRI SIMASHEV","1","0","1","9","8","52.9","17","23","42.5"
"8","20:07","4.1","IAN COLE - OLLI MAATTA","0","0","0","8","5","61.5","16","18","47.1"
"9","19:57","4.1","MIKHAIL SERGACHEV - DMITRI SIMASHEV","0","0","0","10","5","66.7","20","18","52.6"
"10","18:39","3.8","NATE SCHMIDT - SEAN DURZI","0","1","-1","11","7","61.1","16","17","48.5"
"11","18:26","3.8","OLLI MAATTA - MICHAEL KESSELRING","0","0","0","5","6","45.5","15","16","48.4"
"12","15:47","3.2","OLLI MAATTA - MIKHAIL SERGACHEV","0","0","0","3","5","37.5","12","9","57.1"
"13","12:12","2.5","OLLI MAATTA - SEAN DURZI","2","0","2","6","3","66.7","10","8","55.6"
"14","9:44","2.0","IAN COLE - MIKHAIL SERGACHEV","1","0","1","5","6","45.5","7","13","35.0"
"15","8:21","1.7","MIKHAIL SERGACHEV","1","1","0","5","2","71.4","16","3","84.2"
"16","7:55","1.6","SEAN DURZI - MICHAEL KESSELRING","0","0","0","3","2","60.0","9","7","56.3"
"17","7:11","1.5","ROBERT BORTUZZO - OLLI MAATTA","0","0","0","3","2","60.0","5","2","71.4"
"18","6:15","1.3","IAN COLE - JOHN MARINO","0","0","0","4","1","80.0","8","6","57.1"
"19","5:02","1.0","OLLI MAATTA - NATE SCHMIDT","0","0","0","2","0","100.0","3","1","75.0"
"20","4:56","1.0","OLLI MAATTA - JOHN MARINO","0","0","0","2","3","40.0","5","7","41.7"
"21","4:32","0.9","NICK DESIMONE - MICHAEL KESSELRING","0","0","0","1","2","33.3","2","8","20.0"
"22","4:29","0.9","JOHN MARINO - DMITRI SIMASHEV","0","0","0","2","2","50.0","3","4","42.9"
"23","3:52","0.8","MIKHAIL SERGACHEV - MICHAEL KESSELRING","0","0","0","2","2","50.0","3","3","50.0"
"24","3:41","0.8","OLLI MAATTA - DMITRI SIMASHEV","0","0","0","1","1","50.0","2","1","66.7"
"25","3:35","0.7","IAN COLE - NATE SCHMIDT","0","0","0","3","0","100.0","3","2","60.0"
"26","3:03","0.6","JOHN MARINO - SEAN DURZI","0","0","0","1","2","33.3","2","4","33.3"
"27","2:52","0.6","NATE SCHMIDT - MIKHAIL SERGACHEV","0","0","0","2","2","50.0","3","3","50.0"
"28","2:25","0.5","NICK DESIMONE - SEAN DURZI","1","0","1","3","1","75.0","5","1","83.3"
"29","2:13","0.5","MIKHAIL SERGACHEV - NICK DESIMONE","0","0","0","0","0","0.0","0","2","0.0"
"30","2:03","0.4","SEAN DURZI","0","0","0","1","1","50.0","2","1","66.7"
"31","1:56","0.4","SEAN DURZI - DMITRI SIMASHEV","0","0","0","1","0","100.0","2","0","100.0"
"32","1:55","0.4","NATE SCHMIDT - DMITRI SIMASHEV","0","0","0","0","2","0.0","0","3","0.0"
