"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","36:58","63.6","MIKHAIL SERGACHEV","9","1","8","45","3","93.8","70","8","89.7"
"2","8:10","14.1","NATE SCHMIDT","0","0","0","2","0","100.0","11","0","100.0"
"3","7:19","12.6","SEAN DURZI","3","0","3","10","0","100.0","19","0","100.0"
"4","2:26","4.2","NATE SCHMIDT - SEAN DURZI","0","0","0","3","0","100.0","4","0","100.0"
"5","2:00","3.4","SEAN DURZI - MICHAEL KESSELRING","0","0","0","1","0","100.0","1","0","100.0"
"6","0:24","0.7","MIKHAIL SERGACHEV - SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"7","0:11","0.3","NATE SCHMIDT - JOHN MARINO","0","0","0","0","0","0.0","0","0","0.0"
"8","0:09","0.3","MIKHAIL SERGACHEV - MICHAEL KESSELRING","0","0","0","0","0","0.0","0","0","0.0"
"9","0:08","0.2","OLLI MAATTA - MIKHAIL SERGACHEV","0","0","0","0","0","0.0","0","0","0.0"
"10","0:07","0.2","OLLI MAATTA - SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"11","0:03","0.1","OLLI MAATTA - JOHN MARINO","0","0","0","0","0","0.0","0","0","0.0"
"12","0:03","0.1","IAN COLE - SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"13","0:02","0.1","IAN COLE - MICHAEL KESSELRING","0","0","0","0","0","0.0","0","0","0.0"
"14","0:02","0.1","IAN COLE - OLLI MAATTA","0","0","0","0","0","0.0","0","0","0.0"
"15","0:02","0.1","NATE SCHMIDT - MIKHAIL SERGACHEV","0","0","0","0","0","0.0","0","0","0.0"
"16","0:01","0.0","MIKHAIL SERGACHEV - DMITRI SIMASHEV","0","0","0","0","0","0.0","0","0","0.0"
