"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","27:50","45.2","IAN COLE - MIKHAIL SERGACHEV","0","4","-4","2","22","8.3","3","45","6.3"
"2","8:00","13.0","NATE SCHMIDT - JOHN MARINO","0","0","0","0","4","0.0","0","13","0.0"
"3","4:33","7.4","MIKHAIL SERGACHEV - SEAN DURZI","0","2","-2","0","9","0.0","0","13","0.0"
"4","3:36","5.8","IAN COLE - OLLI MAATTA","0","2","-2","0","8","0.0","0","12","0.0"
"5","3:32","5.7","OLLI MAATTA - NICK DESIMONE","0","1","-1","1","4","20.0","1","5","16.7"
"6","2:37","4.3","OLLI MAATTA - SEAN DURZI","0","1","-1","0","2","0.0","0","7","0.0"
"7","2:31","4.1","IAN COLE - NATE SCHMIDT","0","1","-1","0","2","0.0","0","3","0.0"
"8","2:21","3.8","JOHN MARINO - SEAN DURZI","0","0","0","0","1","0.0","0","2","0.0"
"9","1:43","2.8","IAN COLE - SEAN DURZI","0","0","0","0","0","0.0","1","1","50.0"
"10","1:18","2.1","MIKHAIL SERGACHEV - JOHN MARINO","0","0","0","1","1","50.0","1","2","33.3"
"11","1:06","1.8","ROBERT BORTUZZO - OLLI MAATTA","0","0","0","0","3","0.0","0","4","0.0"
"12","0:38","1.0","IAN COLE - JOHN MARINO","0","0","0","1","0","100.0","1","0","100.0"
"13","0:28","0.8","JOHN MARINO - DMITRI SIMASHEV","0","1","-1","0","2","0.0","0","2","0.0"
"14","0:27","0.7","MIKHAIL SERGACHEV - DMITRI SIMASHEV","0","0","0","0","0","0.0","0","0","0.0"
"15","0:20","0.5","OLLI MAATTA - MIKHAIL SERGACHEV","0","0","0","1","0","100.0","1","0","100.0"
"16","0:13","0.4","NATE SCHMIDT - DMITRI SIMASHEV","0","0","0","0","0","0.0","0","0","0.0"
"17","0:04","0.1","ROBERT BORTUZZO - IAN COLE","0","0","0","0","0","0.0","0","0","0.0"
"18","0:03","0.1","OLLI MAATTA - MICHAEL KESSELRING","0","0","0","0","0","0.0","0","0","0.0"
"19","0:02","0.1","SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"20","0:02","0.1","SEAN DURZI - MICHAEL KESSELRING","0","0","0","0","0","0.0","0","0","0.0"
"21","0:01","0.0","MIKHAIL SERGACHEV","0","0","0","0","0","0.0","0","0","0.0"
"22","0:01","0.0","OLLI MAATTA - MIKHAIL SERGACHEV - SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"23","0:01","0.0","IAN COLE - OLLI MAATTA - SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"24","0:01","0.0","MIKHAIL SERGACHEV - NICK DESIMONE","0","0","0","0","0","0.0","0","0","0.0"
"25","0:01","0.0","IAN COLE - NICK DESIMONE","0","0","0","0","0","0.0","0","0","0.0"
"26","0:01","0.0","NATE SCHMIDT - MIKHAIL SERGACHEV","0","0","0","0","0","0.0","0","0","0.0"
"27","0:01","0.0","NATE SCHMIDT - MIKHAIL SERGACHEV - JOHN MARINO","0","0","0","0","0","0.0","0","0","0.0"
"28","0:01","0.0","ROBERT BORTUZZO - IAN COLE - MIKHAIL SERGACHEV","0","0","0","0","0","0.0","0","0","0.0"
"29","0:01","0.0","IAN COLE - NICK DESIMONE - SEAN DURZI","0","0","0","0","0","0.0","0","0","0.0"
"30","0:01","0.0","IAN COLE - MIKHAIL SERGACHEV - JOHN MARINO","0","0","0","0","0","0.0","0","0","0.0"
