"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","69:42","14.3","CLAYTON KELLER - DYLAN GUENTHER - LOGAN COOLEY","6","1","5","39","30","56.5","74","59","55.6"
"2","48:15","9.9","NICK BJUGSTAD - ALEXANDER KERFOOT - KEVIN STENLUND","6","1","5","32","12","72.7","57","35","62.0"
"3","45:15","9.3","LAWSON CROUSE - JACK MCBAIN - JOSH DOAN","2","0","2","29","12","70.7","53","37","58.9"
"4","44:10","9.0","NICK SCHMALTZ - KAILER YAMAMOTO - BARRETT HAYTON","0","0","0","32","13","71.1","58","28","67.4"
"5","35:04","7.2","DYLAN GUENTHER - JJ PETERKA - LOGAN COOLEY","3","1","2","19","13","59.4","39","31","55.7"
"6","20:45","4.2","NICK SCHMALTZ - CLAYTON KELLER - BARRETT HAYTON","1","0","1","19","6","76.0","27","11","71.1"
"7","19:19","4.0","NICK SCHMALTZ - CLAYTON KELLER - JACK MCBAIN","1","1","0","12","6","66.7","18","23","43.9"
"8","12:28","2.6","BRANDON TANEV - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","4","2","66.7","5","10","33.3"
"9","11:26","2.3","LAWSON CROUSE - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","6","10","37.5","15","16","48.4"
"10","10:38","2.2","LIAM O'BRIEN - LAWSON CROUSE - JACK MCBAIN","0","0","0","8","9","47.1","10","14","41.7"
"11","10:15","2.1","LAWSON CROUSE - MICHAEL CARCONE - JACK MCBAIN","0","1","-1","3","3","50.0","14","9","60.9"
"12","9:37","2.0","NICK BJUGSTAD - MICHAEL CARCONE - KEVIN STENLUND","2","0","2","3","6","33.3","6","12","33.3"
"13","9:04","1.9","NICK SCHMALTZ - BARRETT HAYTON - JOSH DOAN","0","1","-1","4","4","50.0","12","7","63.2"
"14","7:56","1.6","LAWSON CROUSE - BRANDON TANEV - KEVIN STENLUND","0","0","0","4","2","66.7","7","8","46.7"
"15","5:56","1.2","NICK SCHMALTZ - CLAYTON KELLER - LOGAN COOLEY","0","0","0","1","3","25.0","4","3","57.1"
"16","3:20","0.7","ANDREW AGOZZINO - BRANDON TANEV - JJ PETERKA","0","0","0","2","2","50.0","2","4","33.3"
"17","2:49","0.6","LAWSON CROUSE - KEVIN STENLUND - JACK MCBAIN","1","0","1","1","1","50.0","1","3","25.0"
"18","2:46","0.6","NICK SCHMALTZ - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","1","0.0","2","6","25.0"
"19","2:37","0.5","NICK SCHMALTZ - BARRETT HAYTON - DYLAN GUENTHER","0","0","0","1","0","100.0","2","1","66.7"
"20","2:29","0.5","NICK SCHMALTZ - CLAYTON KELLER - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","2","0","100.0","9","0","100.0"
"21","2:29","0.5","CLAYTON KELLER - JACK MCBAIN - DYLAN GUENTHER","0","0","0","0","1","0.0","0","3","0.0"
"22","2:26","0.5","CLAYTON KELLER - KEVIN STENLUND - LOGAN COOLEY","0","0","0","1","4","20.0","1","7","12.5"
"23","2:23","0.5","CLAYTON KELLER - KEVIN STENLUND - DYLAN GUENTHER","0","0","0","0","0","0.0","1","3","25.0"
"24","2:17","0.5","ANDREW AGOZZINO - BRANDON TANEV - CLAYTON KELLER","0","0","0","0","1","0.0","0","5","0.0"
"25","2:15","0.5","CLAYTON KELLER - JOSH DOAN - LOGAN COOLEY","0","0","0","1","2","33.3","1","4","20.0"
"26","2:04","0.4","JACK MCBAIN - DYLAN GUENTHER - JJ PETERKA","0","0","0","1","0","100.0","2","1","66.7"
"27","2:04","0.4","CLAYTON KELLER - BARRETT HAYTON - LOGAN COOLEY","0","0","0","2","0","100.0","3","1","75.0"
"28","2:01","0.4","NICK SCHMALTZ - KAILER YAMAMOTO - DYLAN GUENTHER","0","0","0","0","1","0.0","0","1","0.0"
"29","1:58","0.4","ALEXANDER KERFOOT - KEVIN STENLUND - DYLAN GUENTHER","0","0","0","0","0","0.0","0","2","0.0"
"30","1:57","0.4","BRANDON TANEV - MICHAEL CARCONE - KEVIN STENLUND","0","0","0","2","3","40.0","3","5","37.5"
"31","1:52","0.4","ANDREW AGOZZINO - BRANDON TANEV - LOGAN COOLEY","0","0","0","0","2","0.0","1","2","33.3"
"32","1:51","0.4","BRANDON TANEV - KEVIN STENLUND - JJ PETERKA","0","0","0","1","0","100.0","3","0","100.0"
"33","1:44","0.4","NICK SCHMALTZ - BARRETT HAYTON - JJ PETERKA","0","0","0","0","0","0.0","0","2","0.0"
"34","1:39","0.3","LAWSON CROUSE - KAILER YAMAMOTO - JACK MCBAIN","0","0","0","0","2","0.0","2","2","50.0"
"35","1:36","0.3","ALEXANDER KERFOOT - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","1","0.0","0","2","0.0"
"36","1:33","0.3","CLAYTON KELLER - BARRETT HAYTON - DYLAN GUENTHER","0","1","-1","0","1","0.0","0","2","0.0"
"37","1:29","0.3","CLAYTON KELLER - DYLAN GUENTHER","0","0","0","1","0","100.0","2","0","100.0"
"38","1:26","0.3","BRANDON TANEV - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","1","0.0","0","3","0.0"
"39","1:24","0.3","CLAYTON KELLER - KAILER YAMAMOTO - BARRETT HAYTON","0","0","0","1","0","100.0","2","0","100.0"
"40","1:23","0.3","ANDREW AGOZZINO - LAWSON CROUSE - BRANDON TANEV","0","0","0","0","0","0.0","0","0","0.0"
"41","1:22","0.3","ALEXANDER KERFOOT - KEVIN STENLUND - JOSH DOAN","0","0","0","0","1","0.0","0","1","0.0"
"42","1:18","0.3","NICK BJUGSTAD - CLAYTON KELLER - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"43","1:18","0.3","NICK SCHMALTZ - KAILER YAMAMOTO - JACK MCBAIN","0","0","0","0","0","0.0","2","3","40.0"
"44","1:17","0.3","NICK SCHMALTZ - CLAYTON KELLER - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"45","1:16","0.3","NICK SCHMALTZ - JACK MCBAIN - JOSH DOAN","0","0","0","3","1","75.0","4","1","80.0"
"46","1:16","0.3","NICK SCHMALTZ - CLAYTON KELLER - KEVIN STENLUND - DYLAN GUENTHER - LOGAN COOLEY","0","1","-1","1","1","50.0","2","1","66.7"
"47","1:15","0.3","NICK SCHMALTZ - KAILER YAMAMOTO - LOGAN COOLEY","0","1","-1","2","2","50.0","4","2","66.7"
"48","1:14","0.3","KAILER YAMAMOTO - JACK MCBAIN - JJ PETERKA","0","0","0","1","0","100.0","2","0","100.0"
"49","1:12","0.2","CLAYTON KELLER - KAILER YAMAMOTO - JACK MCBAIN","0","0","0","0","3","0.0","0","6","0.0"
"50","1:11","0.2","ALEXANDER KERFOOT - KAILER YAMAMOTO - KEVIN STENLUND","0","1","-1","0","4","0.0","0","6","0.0"
"51","1:11","0.2","NICK SCHMALTZ - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"52","1:11","0.2","LAWSON CROUSE - JACK MCBAIN - JJ PETERKA","0","0","0","0","2","0.0","0","3","0.0"
"53","1:09","0.2","NICK SCHMALTZ - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","0","1","0.0","0","1","0.0"
"54","1:02","0.2","LAWSON CROUSE - JOSH DOAN - LOGAN COOLEY","0","0","0","0","0","0.0","1","0","100.0"
"55","1:02","0.2","LAWSON CROUSE - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"56","0:59","0.2","KEVIN STENLUND - DYLAN GUENTHER - JJ PETERKA","0","0","0","0","0","0.0","1","0","100.0"
"57","0:58","0.2","ANDREW AGOZZINO - BRANDON TANEV - KAILER YAMAMOTO","0","0","0","1","0","100.0","2","0","100.0"
"58","0:57","0.2","LAWSON CROUSE - CLAYTON KELLER - JACK MCBAIN","0","1","-1","0","2","0.0","0","3","0.0"
"59","0:54","0.2","NICK SCHMALTZ - CLAYTON KELLER - DYLAN GUENTHER - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","0","1","0.0"
"60","0:54","0.2","LAWSON CROUSE - JACK MCBAIN","0","0","0","0","1","0.0","0","2","0.0"
"61","0:53","0.2","CLAYTON KELLER - JACK MCBAIN - JOSH DOAN","0","0","0","0","2","0.0","0","2","0.0"
"62","0:52","0.2","LAWSON CROUSE - KAILER YAMAMOTO - JJ PETERKA","0","0","0","1","0","100.0","1","0","100.0"
"63","0:52","0.2","NICK SCHMALTZ - JACK MCBAIN - DYLAN GUENTHER - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"64","0:52","0.2","CLAYTON KELLER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"65","0:51","0.2","LAWSON CROUSE - KEVIN STENLUND - JOSH DOAN","0","0","0","0","0","0.0","1","0","100.0"
"66","0:50","0.2","NICK SCHMALTZ - CLAYTON KELLER - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"67","0:49","0.2","NICK SCHMALTZ - BARRETT HAYTON - KEVIN STENLUND","0","0","0","0","0","0.0","0","1","0.0"
"68","0:49","0.2","LAWSON CROUSE - KEVIN STENLUND - DYLAN GUENTHER","0","0","0","0","0","0.0","1","0","100.0"
"69","0:48","0.2","NICK BJUGSTAD - ALEXANDER KERFOOT - JACK MCBAIN","0","0","0","1","1","50.0","1","1","50.0"
"70","0:47","0.2","MICHAEL CARCONE - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"71","0:47","0.2","NICK SCHMALTZ - KAILER YAMAMOTO","0","0","0","1","0","100.0","1","0","100.0"
"72","0:45","0.2","MICHAEL CARCONE - JACK MCBAIN - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"73","0:45","0.2","KAILER YAMAMOTO - LOGAN COOLEY","0","0","0","0","0","0.0","1","0","100.0"
"74","0:44","0.2","NICK BJUGSTAD - CLAYTON KELLER - LOGAN COOLEY","0","1","-1","0","2","0.0","0","3","0.0"
"75","0:44","0.2","LAWSON CROUSE - BRANDON TANEV - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"76","0:43","0.1","LAWSON CROUSE - JOSH DOAN","0","0","0","0","0","0.0","1","0","100.0"
"77","0:42","0.1","JACK MCBAIN - DYLAN GUENTHER - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
