"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","17:47","30.6","NICK SCHMALTZ - CLAYTON KELLER - BARRETT HAYTON - DYLAN GUENTHER","7","1","6","22","3","88.0","32","3","91.4"
"2","17:05","29.4","NICK SCHMALTZ - CLAYTON KELLER - DYLAN GUENTHER - LOGAN COOLEY","1","0","1","21","0","100.0","33","4","89.2"
"3","5:50","10.0","KAILER YAMAMOTO - JACK MCBAIN - JOSH DOAN - LOGAN COOLEY","3","0","3","8","0","100.0","16","0","100.0"
"4","5:04","8.7","KAILER YAMAMOTO - BARRETT HAYTON - JACK MCBAIN - JJ PETERKA","0","0","0","0","0","0.0","6","0","100.0"
"5","2:44","4.7","NICK SCHMALTZ - CLAYTON KELLER - DYLAN GUENTHER","1","0","1","5","0","100.0","9","0","100.0"
"6","2:23","4.1","KAILER YAMAMOTO - JACK MCBAIN - JJ PETERKA","0","0","0","3","0","100.0","4","0","100.0"
"7","1:46","3.0","JACK MCBAIN - JOSH DOAN - LOGAN COOLEY","0","0","0","1","0","100.0","1","0","100.0"
"8","1:08","2.0","CLAYTON KELLER - KAILER YAMAMOTO - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","1","0","100.0"
"9","0:46","1.3","LAWSON CROUSE - KAILER YAMAMOTO - BARRETT HAYTON - JJ PETERKA","0","0","0","0","0","0.0","2","0","100.0"
"10","0:38","1.1","NICK SCHMALTZ - CLAYTON KELLER - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"11","0:18","0.5","CLAYTON KELLER - KAILER YAMAMOTO - BARRETT HAYTON - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"12","0:18","0.5","BARRETT HAYTON - JOSH DOAN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"13","0:12","0.3","NICK SCHMALTZ - CLAYTON KELLER - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"14","0:10","0.3","NICK SCHMALTZ - DYLAN GUENTHER - JJ PETERKA - LOGAN COOLEY","0","0","0","1","0","100.0","1","0","100.0"
"15","0:09","0.3","CLAYTON KELLER - BARRETT HAYTON - KEVIN STENLUND - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"16","0:09","0.3","CLAYTON KELLER - KAILER YAMAMOTO - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"17","0:07","0.2","CLAYTON KELLER - KAILER YAMAMOTO - JACK MCBAIN - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"18","0:06","0.2","NICK SCHMALTZ - CLAYTON KELLER - KEVIN STENLUND - DYLAN GUENTHER","0","0","0","0","0","0.0","0","1","0.0"
"19","0:05","0.1","LAWSON CROUSE - KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"20","0:05","0.1","LAWSON CROUSE - KAILER YAMAMOTO - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"21","0:04","0.1","CLAYTON KELLER - BARRETT HAYTON - DYLAN GUENTHER - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"22","0:04","0.1","NICK BJUGSTAD - NICK SCHMALTZ - CLAYTON KELLER - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"23","0:04","0.1","CLAYTON KELLER - KAILER YAMAMOTO - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"24","0:04","0.1","LAWSON CROUSE - JACK MCBAIN - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"25","0:03","0.1","KAILER YAMAMOTO - BARRETT HAYTON - DYLAN GUENTHER - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"26","0:03","0.1","CLAYTON KELLER - BARRETT HAYTON - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"27","0:03","0.1","NICK SCHMALTZ - CLAYTON KELLER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"28","0:03","0.1","BARRETT HAYTON - KEVIN STENLUND - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"29","0:03","0.1","NICK SCHMALTZ - KAILER YAMAMOTO - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"30","0:02","0.1","KAILER YAMAMOTO - BARRETT HAYTON - JOSH DOAN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"31","0:02","0.1","BARRETT HAYTON - JACK MCBAIN - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"32","0:02","0.1","KAILER YAMAMOTO - JACK MCBAIN - DYLAN GUENTHER - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"33","0:02","0.1","NICK SCHMALTZ - BARRETT HAYTON - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"34","0:02","0.1","CLAYTON KELLER - KAILER YAMAMOTO - JACK MCBAIN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"35","0:02","0.1","NICK BJUGSTAD - MICHAEL CARCONE - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"36","0:02","0.1","NICK SCHMALTZ - CLAYTON KELLER - BARRETT HAYTON - JACK MCBAIN - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"37","0:02","0.1","ALEXANDER KERFOOT - KEVIN STENLUND - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"38","0:02","0.1","NICK SCHMALTZ - JACK MCBAIN - JOSH DOAN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"39","0:02","0.1","KAILER YAMAMOTO - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"40","0:02","0.1","BARRETT HAYTON - DYLAN GUENTHER - JJ PETERKA - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"41","0:02","0.1","NICK SCHMALTZ - CLAYTON KELLER - KAILER YAMAMOTO - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"42","0:02","0.1","CLAYTON KELLER - KAILER YAMAMOTO - BARRETT HAYTON - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"43","0:01","0.0","NICK SCHMALTZ - CLAYTON KELLER - JOSH DOAN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"44","0:01","0.0","CLAYTON KELLER - JACK MCBAIN - DYLAN GUENTHER - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
