"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"1","10:36","17.2","ALEXANDER KERFOOT - KEVIN STENLUND","0","4","-4","1","13","7.1","1","22","4.3"
"2","9:31","15.5","LAWSON CROUSE - KEVIN STENLUND","0","0","0","0","6","0.0","0","14","0.0"
"3","5:53","9.6","BARRETT HAYTON - JACK MCBAIN","0","1","-1","0","7","0.0","0","9","0.0"
"4","3:52","6.3","BARRETT HAYTON - KEVIN STENLUND","0","1","-1","0","2","0.0","1","9","10.0"
"5","3:50","6.2","JACK MCBAIN - LOGAN COOLEY","0","1","-1","1","3","25.0","1","4","20.0"
"6","3:43","6.0","JACK MCBAIN - DYLAN GUENTHER","0","2","-2","0","3","0.0","0","6","0.0"
"7","3:28","5.6","DYLAN GUENTHER - LOGAN COOLEY","0","0","0","1","2","33.3","1","4","20.0"
"8","3:04","5.0","KEVIN STENLUND - JACK MCBAIN","0","1","-1","0","3","0.0","0","7","0.0"
"9","2:31","4.1","KEVIN STENLUND - DYLAN GUENTHER","0","0","0","1","2","33.3","1","5","16.7"
"10","2:01","3.3","LAWSON CROUSE - JACK MCBAIN","0","0","0","1","1","50.0","1","2","33.3"
"11","1:53","3.1","BRANDON TANEV - KAILER YAMAMOTO","0","0","0","1","2","33.3","2","3","40.0"
"12","1:14","2.0","ALEXANDER KERFOOT - LOGAN COOLEY","0","1","-1","0","2","0.0","0","3","0.0"
"13","1:14","2.0","BRANDON TANEV - LOGAN COOLEY","0","0","0","0","0","0.0","0","3","0.0"
"14","1:09","1.9","LAWSON CROUSE - LOGAN COOLEY","0","0","0","0","1","0.0","0","1","0.0"
"15","1:07","1.8","ALEXANDER KERFOOT","0","0","0","0","4","0.0","0","5","0.0"
"16","1:04","1.7","ALEXANDER KERFOOT - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"17","0:52","1.4","KEVIN STENLUND","0","0","0","0","1","0.0","0","2","0.0"
"18","0:49","1.3","LOGAN COOLEY","0","0","0","0","3","0.0","0","5","0.0"
"19","0:42","1.1","KEVIN STENLUND - LOGAN COOLEY","0","1","-1","0","2","0.0","0","3","0.0"
"20","0:21","0.6","LAWSON CROUSE - KAILER YAMAMOTO","0","0","0","0","0","0.0","0","0","0.0"
"21","0:20","0.5","LAWSON CROUSE - JOSH DOAN","0","0","0","0","1","0.0","0","2","0.0"
"22","0:19","0.5","NICK SCHMALTZ - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"23","0:17","0.5","ALEXANDER KERFOOT - LAWSON CROUSE","0","0","0","0","0","0.0","0","0","0.0"
"24","0:16","0.4","KAILER YAMAMOTO - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"25","0:15","0.4","KAILER YAMAMOTO - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"26","0:13","0.4","NICK SCHMALTZ - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"27","0:12","0.3","NICK SCHMALTZ - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"28","0:11","0.3","NICK SCHMALTZ - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"29","0:08","0.2","BRANDON TANEV - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"30","0:07","0.2","LAWSON CROUSE - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"31","0:07","0.2","ALEXANDER KERFOOT - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"32","0:06","0.2","LAWSON CROUSE - BRANDON TANEV","0","0","0","0","0","0.0","0","0","0.0"
"33","0:02","0.1","LAWSON CROUSE","0","0","0","0","0","0.0","0","0","0.0"
"34","0:01","0.0","JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
"35","0:01","0.0","BRANDON TANEV - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"36","0:01","0.0","ALEXANDER KERFOOT - BARRETT HAYTON - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"37","0:01","0.0","NICK SCHMALTZ - KAILER YAMAMOTO","0","0","0","0","0","0.0","0","0","0.0"
"38","0:01","0.0","BARRETT HAYTON - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"39","0:01","0.0","BRANDON TANEV - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"40","0:01","0.0","BRANDON TANEV - KAILER YAMAMOTO - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
