,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Oskar Back,DAL,C,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Bastian,DAL,RW,0.06,0.11,0.17,-0.1,0.42,0.69,0.02,0.03,0,0.03,0,1.93,0.5
Jamie Benn,DAL,C,0,0,0,0,0,0,0,0,0,0,0,0,0
Lian Bichsel,DAL,D,0.09,0.18,0.27,0.05,0.78,0.79,0.02,0,0,0,0,3.11,0.57
Colin Blackwell,DAL,C,0.1,0.16,0.26,0,0.21,0.96,0,0,0.02,0.02,0.01,1.15,0.42
Mavrik Bourque,DAL,C,0.15,0.21,0.37,0.09,0.12,1.12,0.02,0.01,0.02,0,0,0.51,0.51
Matt Duchene,DAL,C,0.23,0.39,0.62,0.14,0.14,1.5,0.05,0.08,0.15,0,0,0.27,0.29
Radek Faksa,DAL,C,0.09,0.14,0.23,-0.03,0.36,0.85,0.01,0,0,0,0,1.36,0.75
Thomas Harley,DAL,D,0.13,0.38,0.51,0.39,0.19,1.77,0.02,0.01,0.14,0,0,0.4,1.54
Miro Heiskanen,DAL,D,0.11,0.55,0.66,0.1,0.25,2.14,0.02,0.02,0.18,0,0,0.42,1.8
Roope Hintz,DAL,C,0.34,0.5,0.84,0.31,0.38,2.25,0.06,0.09,0.17,0.01,0.01,0.63,0.7
Justin Hryckowian,DAL,C,0.06,0.25,0.31,0.19,0.33,0.9,0,0,0,0,0,1.65,0.17
Wyatt Johnston,DAL,C,0.39,0.43,0.82,0.09,0.21,2.31,0.04,0.1,0.14,0.02,0,0.48,0.6
Esa Lindell,DAL,D,0.04,0.23,0.27,0.39,0.14,1.13,0,0,0.01,0,0,0.64,2.21
Nils Lundkvist,DAL,D,0.03,0.2,0.23,0.16,0.45,1.33,0,0,0,0,0,0.66,1.07
Ilya Lyubushkin,DAL,D,0.01,0.1,0.11,0.03,0.3,0.39,0,0,0,0,0,0.79,1.31
Alex Petrovic,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikko Rantanen,DAL,RW,0.4,0.51,0.91,0.27,0.57,2.18,0.05,0.1,0.17,0,0,0.48,0.5
Jason Robertson,DAL,LW,0.36,0.51,0.87,0.18,0.2,2.46,0.06,0.11,0.14,0,0,0.67,0.54
Tyler Seguin,DAL,C,0.31,0.41,0.72,0.4,0.24,2.04,0.03,0.08,0.06,0,0,0.55,0.31
Sam Steel,DAL,C,0.08,0.18,0.26,-0.04,0.35,0.99,0.01,0,0,0.01,0.02,0.67,0.39
,,,,,,,,,,,,,,,
,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Zakhar Bardakov,COL,C,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Brindley,COL,C,0,0.08,0.08,0.17,0.34,0.74,0,0,0,0,0,1.61,0.3
Brent Burns,COL,D,0.07,0.24,0.31,0.08,0.34,2.31,0,0.01,0.06,0,0,0.28,1.23
Ross Colton,COL,LW,0.2,0.17,0.38,0.03,0.33,1.75,0.02,0.05,0.03,0,0,2.43,0.56
Jack Drury,COL,C,0.09,0.18,0.27,0.04,0.36,1.49,0.02,0.01,0.03,0,0,0.81,0.74
Samuel Girard,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Kelly,COL,C,0.08,0.12,0.19,-0.02,0.43,1.25,0.02,0,0,0.01,0.01,2.89,0.99
Joel Kiviranta,COL,RW,0.13,0.09,0.22,0.12,0.31,1.06,0.03,0,0,0.01,0,1.79,0.47
Gabriel Landeskog,COL,LW,0.28,0.41,0.69,0.2,0.7,2.21,0.04,0.1,0.13,0,0,1.46,0.43
Artturi Lehkonen,COL,LW,0.38,0.36,0.74,0.42,0.51,2.51,0.05,0.05,0.1,0.01,0,0.89,0.67
Jacob MacDonald,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan MacKinnon,COL,C,0.39,0.97,1.36,0.34,0.49,4.38,0.07,0.12,0.33,0,0,0.69,0.76
Cale Makar,COL,D,0.3,0.79,1.09,0.31,0.22,3.15,0.04,0.12,0.36,0.01,0.02,0.85,1.73
Sam Malinski,COL,D,0.06,0.12,0.18,0.1,0.2,1.49,0.01,0,0.01,0,0,0.86,1.38
Josh Manson,COL,D,0.01,0.27,0.28,-0.01,0.82,1.36,0,0,0.01,0,0.01,2.89,1.27
Martin Necas,COL,C,0.4,0.73,1.12,0.14,0.31,3.19,0.06,0.16,0.3,0,0,1.26,0.39
Brock Nelson,COL,C,0.33,0.44,0.78,0.08,0.27,2.97,0.06,0.05,0.09,0.02,0,0.67,0.66
Valeri Nichushkin,COL,LW,0.34,0.28,0.62,0.18,0.17,2.51,0.04,0.1,0.09,0,0,1.34,0.48
Logan O'Connor,COL,RW,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Olofsson,COL,LW,0.21,0.18,0.39,0.17,0.2,1.77,0.04,0.05,0.04,0,0,0.53,0.29
Nikita Prishchepov,COL,LW,0,0,0,0,0,0,0,0,0,0,0,0,0
Devon Toews,COL,D,0.09,0.35,0.44,0.38,0.3,1.84,0.03,0.01,0.04,0,0,0.77,1.41
