Name,Compare,Pos,Age,Team,Opponent,Yahoo Rostered %,Fantrax Rostered %,GP,G,A,PTS,PIM,PPP,SOG,HIT,BKS,TOI,PPTOI
CLARK BISHOP,,L,29.5,CGY,STL,0,0,1,0,1,1,0,0,0,1,1,10:26,0:00
YEGOR SHARANGOVICH,,R,27.3,CGY,STL,5,23,10,0.3,0.4,0.7,0.2,0,1.4,0.2,0.5,16:51,1:35
MACKENZIE WEEGAR,,D,31.7,CGY,STL,99,99,10,0.2,0.4,0.6,0.2,0.2,2.1,1.7,1.2,22:07,1:26
JOEL FARABEE,,L,25.6,CGY,STL,1,13,7,0.3,0.3,0.6,0.3,0,2.3,0.9,1,16:19,2:18
JONATHAN HUBERDEAU,,L,32.3,CGY,STL,35,65,10,0.2,0.3,0.5,0.2,0.1,1.8,0.7,0.5,18:34,2:37
RORY KERINS,,C,23.4,CGY,STL,0,8,2,0,0.5,0.5,0,0,0.5,1,0,13:43,1:36
NAZEM KADRI,,C,35,CGY,STL,83,92,10,0,0.4,0.4,1.2,0,3.9,0.9,0.1,18:19,2:14
MORGAN FROST,,C,26.4,CGY,STL,3,28,8,0.1,0.3,0.4,0,0,1.4,0.6,0.5,14:55,2:04
RASMUS ANDERSSON,,D,28.9,CGY,STL,49,77,10,0,0.3,0.3,0.2,0.1,2.2,0.3,1.7,24:08:00,2:01
JAKE BEAN,,D,27.3,CGY,STL,0,3,8,0,0.3,0.3,0.5,0,1.5,0,1.1,15:27,0:22
MARTIN POSPISIL,,R,25.8,CGY,STL,7,25,4,0,0.3,0.3,0.5,0,1.8,4.5,0.8,15:05,1:16
CONNOR ZARY,,L,24,CGY,STL,2,34,3,0,0.3,0.3,0,0.3,3,0,0.3,15:00,2:55
DANIIL MIROMANOV,,D,28.2,CGY,STL,0,5,3,0,0.3,0.3,0.7,0,0.7,0.3,0.7,19:01,1:34
MIKAEL BACKLUND,,C,36.5,CGY,STL,3,14,10,0.1,0.1,0.2,0,0,2.4,1.3,0.2,17:53,1:22
BLAKE COLEMAN,,R,33.8,CGY,STL,21,30,10,0.1,0.1,0.2,0.6,0,2.6,1.6,0.3,16:47,0:54
DRYDEN HUNT,,L,29.8,CGY,STL,0,1,10,0.1,0.1,0.2,0.7,0,1.4,1.4,0.2,11:13,0:06
MATT CORONATO,,R,22.9,CGY,STL,18,57,6,0.2,0,0.2,0.3,0.2,2.8,0,0.2,15:25,2:02
RYAN LOMBERG,,L,30.8,CGY,STL,0,2,9,0,0.1,0.1,0.2,0,1.3,0.7,0.2,9:56,0:00
KEVIN BAHL,,D,25.2,CGY,STL,0,8,7,0.1,0,0.1,0.3,0,1,1.6,0.7,18:25,0:03
JOEL HANLEY,,D,34.3,CGY,STL,0,2,8,0,0,0,1.3,0,0.8,0.9,1.3,14:23,0:03
BRAYDEN PACHAL,,D,26.1,CGY,STL,0,8,5,0,0,0,3,0,0.8,2.2,0.6,14:30,0:04
ADAM KLAPKA,,R,25,CGY,STL,1,12,1,0,0,0,0,0,0,2,0,6:55,0:00
,,,,,,,,,,,,,,,,,,
Name,Compare,Pos,Age,Team,Opponent,Yahoo Rostered %,Fantrax Rostered %,GP,G,A,PTS,PIM,PPP,SOG,HIT,BKS,TOI,PPTOI
ROBERT THOMAS,,C,26.2,STL,CGY,97,99,10,0.3,1,1.3,0,0.1,2.8,0.2,1,19:41,2:18
BRAYDEN SCHENN,,C,34.1,STL,CGY,17,42,10,0.3,0.7,1,0.2,0.4,1.8,2.6,0.6,17:20,1:59
JORDAN KYROU,,R,27.4,STL,CGY,92,97,10,0.6,0.3,0.9,0,0.2,2.8,0.2,0.4,16:40,2:24
CAM FOWLER,,D,33.8,STL,CGY,72,79,10,0.1,0.7,0.8,0,0.2,1,0.3,1.4,24:26:00,2:12
PAVEL BUCHNEVICH,,L,30.4,STL,CGY,54,70,10,0.5,0.3,0.8,0,0.3,2.4,0.4,0.4,19:29,2:21
JAKE NEIGHBOURS,,L,23.5,STL,CGY,16,57,8,0.3,0.5,0.8,0,0.3,1.6,1.4,1,15:13,1:37
COLTON PARAYKO,,D,32.4,STL,CGY,82,82,10,0.3,0.3,0.6,0,0,2,0.7,1.7,24:56:00,0:57
DYLAN HOLLOWAY,,L,24,STL,CGY,83,96,9,0,0.6,0.6,1.1,0,0.9,1.9,0.8,11:08,0:46
TYLER TUCKER,,D,25.6,STL,CGY,0,9,4,0,0.5,0.5,0,0,1,2,0.3,16:13,0:05
JUSTIN FAULK,,D,33.5,STL,CGY,18,37,10,0.1,0.3,0.4,0.6,0.1,1.5,1,1.3,21:28,1:40
OSKAR SUNDQVIST,,C,31.5,STL,CGY,0,2,10,0.1,0.3,0.4,0.6,0,1.1,1,0.8,12:03,0:49
PIUS SUTER,,C,29.3,STL,CGY,2,15,9,0.3,0.1,0.4,0,0,2.1,0.2,0.4,15:26,0:50
PHILIP BROBERG,,D,24.2,STL,CGY,11,57,5,0,0.4,0.4,0.8,0.2,1,0.2,0.4,18:56,0:52
