PLAYER,POS,TEAM,OPP,LINE,PP LINE,SAL
Nathan MacKinnon,CPTN/FLEX,COL,DAL,1,1,10800
Cale Makar,CPTN/FLEX,COL,DAL,1,1,10000
Martin Necas,CPTN/FLEX,COL,DAL,1,1,8800
Jake Oettinger,CPTN/FLEX,DAL,COL,Yes,-,9600
Scott Wedgewood,CPTN/FLEX,COL,DAL,Yes,-,10200
Brock Nelson,CPTN/FLEX,COL,DAL,2,1,7600
Jason Robertson,CPTN/FLEX,DAL,COL,3,1,8000
Mikko Rantanen,CPTN/FLEX,DAL,COL,1,1,9400
Wyatt Johnston,CPTN/FLEX,DAL,COL,3,1,7800
Roope Hintz,CPTN/FLEX,DAL,COL,1,1,7200
Artturi Lehkonen,CPTN/FLEX,COL,DAL,1,1,8200
Miro Heiskanen,CPTN/FLEX,DAL,COL,1,1,7000
Valeri Nichushkin,CPTN/FLEX,COL,DAL,2,2,8400
Gabriel Landeskog,CPTN/FLEX,COL,DAL,2,2,7400
Tyler Seguin,CPTN/FLEX,DAL,COL,2,2,6200
Thomas Harley,CPTN/FLEX,DAL,COL,2,2,6600
Devon Toews,CPTN/FLEX,COL,DAL,1,-,5800
Brent Burns,CPTN/FLEX,COL,DAL,2,2,5000
Matt Duchene,CPTN/FLEX,DAL,COL,2,2,5600
Esa Lindell,CPTN/FLEX,DAL,COL,1,-,4600
Ross Colton,CPTN/FLEX,COL,DAL,3,2,5200
Victor Olofsson,CPTN/FLEX,COL,DAL,3,2,3800
Mavrik Bourque,CPTN/FLEX,DAL,COL,3,2,3400
Nils Lundkvist,CPTN/FLEX,DAL,COL,2,-,2000
Sam Steel,CPTN/FLEX,DAL,COL,1,2,3000
Colin Blackwell,CPTN/FLEX,DAL,COL,2,-,2600
Sam Malinski,CPTN/FLEX,COL,DAL,3,-,4400
Josh Manson,CPTN/FLEX,COL,DAL,3,-,4200
Parker Kelly,CPTN/FLEX,COL,DAL,4,-,3200
Jack Drury,CPTN/FLEX,COL,DAL,3,-,3600
Joel Kiviranta,CPTN/FLEX,COL,DAL,4,-,2800
Radek Faksa,CPTN/FLEX,DAL,COL,4,-,2000
Justin Hryckowian,CPTN/FLEX,DAL,COL,4,-,2000
Lian Bichsel,CPTN/FLEX,DAL,COL,3,-,2400
Nathan Bastian,CPTN/FLEX,DAL,COL,4,-,2000
Ilya Lyubushkin,CPTN/FLEX,DAL,COL,3,-,2200
Gavin Brindley,CPTN/FLEX,COL,DAL,4,-,2000
Casey DeSmith,CPTN/FLEX,DAL,COL,BN,-,9400
Trent Miner,CPTN/FLEX,COL,DAL,BN,-,10000
Ilya Solovyov,CPTN/FLEX,COL,DAL,2,-,2000
MacKenzie Blackwood,CPTN/FLEX,COL,DAL,BN,-,10200
Logan O''Connor,CPTN/FLEX,COL,DAL,6,-,2000
Jacob MacDonald,CPTN/FLEX,COL,DAL,5,-,2000
Ronnie Attard,CPTN/FLEX,COL,DAL,5,-,2000
Kyle McDonald,CPTN/FLEX,DAL,COL,5,-,2000
Samuel Girard,CPTN/FLEX,COL,DAL,4,-,4000
Chase Wheatcroft,CPTN/FLEX,DAL,COL,6,-,2000
Alexander Petrovic,CPTN/FLEX,DAL,COL,4,-,2000
Oskar Back,CPTN/FLEX,DAL,COL,5,-,2000
Jamie Benn,CPTN/FLEX,DAL,COL,6,-,3800
Luke Krys,CPTN/FLEX,DAL,COL,5,-,2000
Sean Behrens,CPTN/FLEX,COL,DAL,4,-,2000
Zakhar Bardakov,CPTN/FLEX,COL,DAL,5,-,2000
