Rank,team,zTotal,Date
1,Carolina Hurricanes,6.214170683737484,20251022
2,Colorado Avalanche,5.965110519608194,20251022
3,Washington Capitals,5.861645815676522,20251022
4,Vegas Golden Knights,5.544179739477028,20251022
5,Detroit Red Wings,2.5374974924428804,20251022
6,Ottawa Senators,2.4792763431710183,20251022
7,New York Rangers,1.9254836410659861,20251022
8,St. Louis Blues,1.84752213157888,20251022
9,Anaheim Ducks,1.843671826026314,20251022
10,Florida Panthers,1.6852453084675234,20251022
11,Nashville Predators,1.6304293324353258,20251022
12,Montreal Canadiens,1.4206471254736486,20251022
13,Edmonton Oilers,1.0515310058807925,20251022
14,New Jersey Devils,0.7792482762027662,20251022
15,Utah Mammoth,0.37466146941440603,20251022
16,Calgary Flames,0.2880160789186643,20251022
17,Los Angeles Kings,0.23997467110359882,20251022
18,Buffalo Sabres,-0.03387555138449172,20251022
19,Pittsburgh Penguins,-0.0852165456341667,20251022
20,Philadelphia Flyers,-0.3775699234427473,20251022
21,Toronto Maple Leafs,-0.712258879092198,20251022
22,Tampa Bay Lightning,-1.400410659626203,20251022
23,Dallas Stars,-1.8582729638815594,20251022
24,New York Islanders,-2.5917406961508647,20251022
25,San Jose Sharks,-2.6906980703240304,20251022
26,Columbus Blue Jackets,-2.7454540669088874,20251022
27,Minnesota Wild,-2.7846837599440337,20251022
28,Boston Bruins,-3.7347160928714858,20251022
29,Chicago Blackhawks,-3.9166094644491767,20251022
30,Seattle Kraken,-5.157281263977847,20251022
31,Winnipeg Jets,-6.558443283664547,20251022
32,Vancouver Canucks,-7.041080239328803,20251022
