zOverallRank,Date,team,stat,value,zscore,rank
1,20251022,Winnipeg Jets,HDC%,17.9,3.061737125,1
2,20251022,Washington Capitals,HDF%,68.5,2.729634344,1
3,20251022,Ottawa Senators,FOW%,61.5,2.667613523,1
4,20251022,Calgary Flames,HDCO%,16.7,2.476566118,1
5,20251022,Colorado Avalanche,xGF,18.7,2.254203541,1
6,20251022,Washington Capitals,xGF,18.7,2.254203541,1
7,20251022,Nashville Predators,HDCO%,15.5,2.146127831,2
8,20251022,Pittsburgh Penguins,xGF,18.4,2.127577713,3
9,20251022,Carolina Hurricanes,SCF%,60.1,2.125283191,1
10,20251022,Minnesota Wild,PP%,34.48,2.10688439,1
11,20251022,Carolina Hurricanes,CF%,59.5,2.076517624,1
12,20251022,Minnesota Wild,Net Pen/60,1.8,1.986845497,1
13,20251022,Vegas Golden Knights,xGA,9.6,1.931679687,1
14,20251022,Utah Mammoth,Pen Drawn/60,5.35,1.876052046,1
15,20251022,Colorado Avalanche,CF%,58.3,1.799840744,2
16,20251022,Philadelphia Flyers,xGA,9.9,1.777273983,2
17,20251022,Vegas Golden Knights,PP%,32.14,1.743005105,2
18,20251022,Winnipeg Jets,PK%,96.3,1.737024427,1
19,20251022,Washington Capitals,SCF%,58.2,1.734189916,2
20,20251022,Buffalo Sabres,PK%,95.83,1.689841261,2
21,20251022,Anaheim Ducks,Net Pen/60,1.5,1.656507486,2
22,20251022,New Jersey Devils,PK%,95.45,1.651693169,3
23,20251022,Seattle Kraken,HDC%,13.2,1.611846497,2
24,20251022,Colorado Avalanche,SCF%,57.4,1.569519064,3
25,20251022,New York Rangers,Pen Taken/60,2.57,1.530148098,1
26,20251022,Washington Capitals,Pen Taken/60,2.59,1.508831276,2
27,20251022,New York Rangers,HDF%,60,1.503642697,2
28,20251022,Washington Capitals,CF%,57,1.500107458,3
29,20251022,Colorado Avalanche,Net Pen/60,1.32,1.458304679,3
30,20251022,Seattle Kraken,Pen Taken/60,2.65,1.444880811,3
31,20251022,Ottawa Senators,CF%,56.7,1.430938238,4
32,20251022,Winnipeg Jets,PP%,30,1.410226612,3
33,20251022,Vegas Golden Knights,FOW%,56,1.404158248,2
34,20251022,Florida Panthers,Pen Drawn/60,5,1.389668182,2
35,20251022,Detroit Red Wings,PK%,92.31,1.336469462,4
36,20251022,Anaheim Ducks,HDCO%,12.5,1.320032114,3
37,20251022,Dallas Stars,PP%,29.41,1.318479271,4
38,20251022,Detroit Red Wings,Pen Taken/60,2.77,1.316979882,4
39,20251022,Detroit Red Wings,Net Pen/60,1.19,1.315158207,4
40,20251022,Carolina Hurricanes,xGA,10.8,1.314056873,3
